id,entity_id,value,unit
168,168,4.666833,kg CO2e/kg
169,169,1.138642,kg CO2e/kg
170,170,3.288695,kg CO2e/kg
171,171,8.370972,kg CO2e/kg
172,172,5.107338,kg CO2e/kg
173,173,3.92591,kg CO2e/kg
174,174,1.441797,kg CO2e/kg
175,175,3.411126,kg CO2e/kg
176,176,16.294974,kg CO2e/kg
177,177,10.412581,kg CO2e/kg
178,178,6.505735,kg CO2e/kg
179,179,5.849549,kg CO2e/kg
180,180,7.737125,kg CO2e/kg
181,181,2.223783,kg CO2e/kg
182,182,0.851167,kg CO2e/kg
183,183,1.087264,kg CO2e/kg
184,184,0.893108,kg CO2e/kg
185,185,0.49602,kg CO2e/kg
186,186,1.646015,kg CO2e/kg
187,187,7.834703,kg CO2e/kg
188,188,1.009128,kg CO2e/kg
189,189,1.877448,kg CO2e/kg
190,190,7.101864,kg CO2e/kg
191,191,3.241715,kg CO2e/kg
192,192,2.596663,kg CO2e/kg
193,193,1.851686,kg CO2e/kg
194,194,3.661397,kg CO2e/kg
195,195,1.934424,kg CO2e/kg
196,196,0.971203,kg CO2e/kg
197,197,17.621044,kg CO2e/kg
198,198,1.020865,kg CO2e/kg
199,199,2.609794,kg CO2e/kg
200,200,2.271515,kg CO2e/kg
201,201,0.948584,kg CO2e/kg
202,202,13.075355,kg CO2e/kg
203,203,1.948104,kg CO2e/kg
204,204,3.376141,kg CO2e/kg
205,205,1.429291,kg CO2e/kg
206,206,1.309165,kg CO2e/kg
207,207,5.232976,kg CO2e/kg
208,208,2.416308,kg CO2e/kg
209,209,0.969403,kg CO2e/kg
210,210,1.722881,kg CO2e/kg
211,211,3.111811,kg CO2e/kg
