id,entity_id,value,unit
119,119,0.270714,"kg CO2e/RM, purchaser price"
120,120,0.110238,"kg CO2e/RM, purchaser price"
121,121,0.045,"kg CO2e/RM, purchaser price"
122,122,0.023571,"kg CO2e/RM, purchaser price"
123,123,0.043571,"kg CO2e/RM, purchaser price"
124,124,0.035714,"kg CO2e/RM, purchaser price"
125,125,0.069286,"kg CO2e/RM, purchaser price"
126,126,0.126429,"kg CO2e/RM, purchaser price"
127,127,0.084524,"kg CO2e/RM, purchaser price"
128,128,0.084524,"kg CO2e/RM, purchaser price"
129,129,0.084524,"kg CO2e/RM, purchaser price"
130,130,0.04619,"kg CO2e/RM, purchaser price"
131,131,0.091905,"kg CO2e/RM, purchaser price"
132,132,0.119048,"kg CO2e/RM, purchaser price"
133,133,0.119048,"kg CO2e/RM, purchaser price"
134,134,0.119048,"kg CO2e/RM, purchaser price"
135,135,0.119048,"kg CO2e/RM, purchaser price"
136,136,0.129524,"kg CO2e/RM, purchaser price"
137,137,0.129524,"kg CO2e/RM, purchaser price"
138,138,0.129524,"kg CO2e/RM, purchaser price"
139,139,0.083571,"kg CO2e/RM, purchaser price"
140,140,0.083571,"kg CO2e/RM, purchaser price"
141,141,0.109524,"kg CO2e/RM, purchaser price"
142,142,0.064524,"kg CO2e/RM, purchaser price"
143,143,0.085714,"kg CO2e/RM, purchaser price"
144,144,0.137857,"kg CO2e/RM, purchaser price"
145,145,0.088333,"kg CO2e/RM, purchaser price"
146,146,0.088333,"kg CO2e/RM, purchaser price"
147,147,0.065714,"kg CO2e/RM, purchaser price"
148,148,0.073571,"kg CO2e/RM, purchaser price"
149,149,0.081667,"kg CO2e/RM, purchaser price"
150,150,0.081667,"kg CO2e/RM, purchaser price"
151,151,0.107381,"kg CO2e/RM, purchaser price"
152,152,0.107381,"kg CO2e/RM, purchaser price"
153,153,0.142143,"kg CO2e/RM, purchaser price"
154,154,0.142143,"kg CO2e/RM, purchaser price"
155,155,0.142143,"kg CO2e/RM, purchaser price"
156,156,0.142143,"kg CO2e/RM, purchaser price"
157,157,0.934286,"kg CO2e/RM, purchaser price"
158,158,0.144286,"kg CO2e/RM, purchaser price"
159,159,0.078095,"kg CO2e/RM, purchaser price"
160,160,0.078095,"kg CO2e/RM, purchaser price"
161,161,0.075476,"kg CO2e/RM, purchaser price"
162,162,0.386429,"kg CO2e/RM, purchaser price"
163,163,0.386429,"kg CO2e/RM, purchaser price"
164,164,0.044524,"kg CO2e/RM, purchaser price"
165,165,0.046429,"kg CO2e/RM, purchaser price"
166,166,0.118333,"kg CO2e/RM, purchaser price"
167,167,0.093571,"kg CO2e/RM, purchaser price"
168,168,0.187381,"kg CO2e/RM, purchaser price"
169,169,0.187381,"kg CO2e/RM, purchaser price"
170,170,0.085714,"kg CO2e/RM, purchaser price"
171,171,0.085714,"kg CO2e/RM, purchaser price"
172,172,0.085714,"kg CO2e/RM, purchaser price"
173,173,0.242381,"kg CO2e/RM, purchaser price"
174,174,0.171667,"kg CO2e/RM, purchaser price"
175,175,0.171667,"kg CO2e/RM, purchaser price"
176,176,0.100714,"kg CO2e/RM, purchaser price"
177,177,0.079524,"kg CO2e/RM, purchaser price"
178,178,0.102619,"kg CO2e/RM, purchaser price"
179,179,0.102619,"kg CO2e/RM, purchaser price"
180,180,0.087857,"kg CO2e/RM, purchaser price"
181,181,0.087857,"kg CO2e/RM, purchaser price"
182,182,0.087857,"kg CO2e/RM, purchaser price"
183,183,0.11,"kg CO2e/RM, purchaser price"
184,184,0.11,"kg CO2e/RM, purchaser price"
185,185,0.11,"kg CO2e/RM, purchaser price"
186,186,0.117381,"kg CO2e/RM, purchaser price"
187,187,0.117381,"kg CO2e/RM, purchaser price"
188,188,0.08619,"kg CO2e/RM, purchaser price"
189,189,0.117381,"kg CO2e/RM, purchaser price"
190,190,0.075952,"kg CO2e/RM, purchaser price"
191,191,0.053095,"kg CO2e/RM, purchaser price"
192,192,0.053095,"kg CO2e/RM, purchaser price"
193,193,0.062381,"kg CO2e/RM, purchaser price"
194,194,0.062381,"kg CO2e/RM, purchaser price"
195,195,0.062381,"kg CO2e/RM, purchaser price"
196,196,0.052619,"kg CO2e/RM, purchaser price"
197,197,0.052619,"kg CO2e/RM, purchaser price"
198,198,0.052619,"kg CO2e/RM, purchaser price"
199,199,0.049762,"kg CO2e/RM, purchaser price"
200,200,0.066429,"kg CO2e/RM, purchaser price"
201,201,0.075714,"kg CO2e/RM, purchaser price"
202,202,0.075714,"kg CO2e/RM, purchaser price"
203,203,0.045476,"kg CO2e/RM, purchaser price"
204,204,0.055476,"kg CO2e/RM, purchaser price"
205,205,0.055476,"kg CO2e/RM, purchaser price"
206,206,0.06619,"kg CO2e/RM, purchaser price"
207,207,0.059048,"kg CO2e/RM, purchaser price"
208,208,0.059048,"kg CO2e/RM, purchaser price"
209,209,0.090952,"kg CO2e/RM, purchaser price"
210,210,0.090952,"kg CO2e/RM, purchaser price"
211,211,0.090952,"kg CO2e/RM, purchaser price"
212,212,0.04119,"kg CO2e/RM, purchaser price"
213,213,0.04119,"kg CO2e/RM, purchaser price"
214,214,0.040714,"kg CO2e/RM, purchaser price"
215,215,0.04119,"kg CO2e/RM, purchaser price"
216,216,0.048333,"kg CO2e/RM, purchaser price"
217,217,0.056667,"kg CO2e/RM, purchaser price"
218,218,0.064762,"kg CO2e/RM, purchaser price"
219,219,0.052381,"kg CO2e/RM, purchaser price"
220,220,0.028571,"kg CO2e/RM, purchaser price"
221,221,0.054286,"kg CO2e/RM, purchaser price"
222,222,0.052143,"kg CO2e/RM, purchaser price"
223,223,0.052143,"kg CO2e/RM, purchaser price"
224,224,0.044048,"kg CO2e/RM, purchaser price"
225,225,0.035714,"kg CO2e/RM, purchaser price"
226,226,0.044048,"kg CO2e/RM, purchaser price"
227,227,0.044048,"kg CO2e/RM, purchaser price"
228,228,0.044048,"kg CO2e/RM, purchaser price"
229,229,0.041667,"kg CO2e/RM, purchaser price"
230,230,0.032143,"kg CO2e/RM, purchaser price"
231,231,0.04881,"kg CO2e/RM, purchaser price"
232,232,0.05,"kg CO2e/RM, purchaser price"
233,233,0.041905,"kg CO2e/RM, purchaser price"
234,234,0.04381,"kg CO2e/RM, purchaser price"
235,235,0.062381,"kg CO2e/RM, purchaser price"
236,236,0.05,"kg CO2e/RM, purchaser price"
237,237,0.049286,"kg CO2e/RM, purchaser price"
238,238,0.047381,"kg CO2e/RM, purchaser price"
239,239,0.049286,"kg CO2e/RM, purchaser price"
240,240,0.047857,"kg CO2e/RM, purchaser price"
241,241,0.042619,"kg CO2e/RM, purchaser price"
242,242,0.049762,"kg CO2e/RM, purchaser price"
243,243,0.070714,"kg CO2e/RM, purchaser price"
244,244,0.042143,"kg CO2e/RM, purchaser price"
245,245,0.053095,"kg CO2e/RM, purchaser price"
246,246,0.060952,"kg CO2e/RM, purchaser price"
247,247,0.060952,"kg CO2e/RM, purchaser price"
248,248,0.060952,"kg CO2e/RM, purchaser price"
249,249,0.060952,"kg CO2e/RM, purchaser price"
250,250,0.032381,"kg CO2e/RM, purchaser price"
251,251,0.059286,"kg CO2e/RM, purchaser price"
252,252,0.032381,"kg CO2e/RM, purchaser price"
253,253,0.045238,"kg CO2e/RM, purchaser price"
254,254,0.048095,"kg CO2e/RM, purchaser price"
255,255,0.048095,"kg CO2e/RM, purchaser price"
256,256,0.059286,"kg CO2e/RM, purchaser price"
257,257,0.059286,"kg CO2e/RM, purchaser price"
258,258,0.01381,"kg CO2e/RM, purchaser price"
259,259,0.016905,"kg CO2e/RM, purchaser price"
260,260,0.034048,"kg CO2e/RM, purchaser price"
261,261,0.022857,"kg CO2e/RM, purchaser price"
262,262,0.026429,"kg CO2e/RM, purchaser price"
263,263,0.019048,"kg CO2e/RM, purchaser price"
264,264,0.019286,"kg CO2e/RM, purchaser price"
265,265,0.023333,"kg CO2e/RM, purchaser price"
266,266,0.05119,"kg CO2e/RM, purchaser price"
267,267,0.023333,"kg CO2e/RM, purchaser price"
268,268,0.023333,"kg CO2e/RM, purchaser price"
269,269,0.024048,"kg CO2e/RM, purchaser price"
270,270,0.023333,"kg CO2e/RM, purchaser price"
271,271,0.032143,"kg CO2e/RM, purchaser price"
272,272,0.016905,"kg CO2e/RM, purchaser price"
273,273,0.016667,"kg CO2e/RM, purchaser price"
274,274,0.015,"kg CO2e/RM, purchaser price"
275,275,0.02,"kg CO2e/RM, purchaser price"
276,276,0.01881,"kg CO2e/RM, purchaser price"
277,277,0.024286,"kg CO2e/RM, purchaser price"
278,278,0.032143,"kg CO2e/RM, purchaser price"
279,279,0.020714,"kg CO2e/RM, purchaser price"
280,280,0.015,"kg CO2e/RM, purchaser price"
281,281,0.015,"kg CO2e/RM, purchaser price"
282,282,0.04119,"kg CO2e/RM, purchaser price"
283,283,0.044048,"kg CO2e/RM, purchaser price"
284,284,0.044048,"kg CO2e/RM, purchaser price"
285,285,0.044048,"kg CO2e/RM, purchaser price"
286,286,0.037381,"kg CO2e/RM, purchaser price"
287,287,0.040952,"kg CO2e/RM, purchaser price"
288,288,0.031667,"kg CO2e/RM, purchaser price"
289,289,0.03619,"kg CO2e/RM, purchaser price"
290,290,0.041429,"kg CO2e/RM, purchaser price"
291,291,0.032857,"kg CO2e/RM, purchaser price"
292,292,0.080238,"kg CO2e/RM, purchaser price"
293,293,0.024524,"kg CO2e/RM, purchaser price"
294,294,0.055952,"kg CO2e/RM, purchaser price"
295,295,0.055952,"kg CO2e/RM, purchaser price"
296,296,0.030238,"kg CO2e/RM, purchaser price"
297,297,0.030238,"kg CO2e/RM, purchaser price"
298,298,0.086429,"kg CO2e/RM, purchaser price"
299,299,0.030476,"kg CO2e/RM, purchaser price"
300,300,0.057143,"kg CO2e/RM, purchaser price"
301,301,0.06381,"kg CO2e/RM, purchaser price"
302,302,0.064762,"kg CO2e/RM, purchaser price"
303,303,0.047619,"kg CO2e/RM, purchaser price"
304,304,0.025476,"kg CO2e/RM, purchaser price"
305,305,0.038095,"kg CO2e/RM, purchaser price"
306,306,0.033095,"kg CO2e/RM, purchaser price"
307,307,0.037143,"kg CO2e/RM, purchaser price"
308,308,0.040476,"kg CO2e/RM, purchaser price"
309,309,0.03381,"kg CO2e/RM, purchaser price"
310,310,0.07,"kg CO2e/RM, purchaser price"
311,311,0.07,"kg CO2e/RM, purchaser price"
312,312,0.105714,"kg CO2e/RM, purchaser price"
313,313,0.046667,"kg CO2e/RM, purchaser price"
314,314,0.043333,"kg CO2e/RM, purchaser price"
315,315,0.052857,"kg CO2e/RM, purchaser price"
316,316,0.046429,"kg CO2e/RM, purchaser price"
317,317,0.039524,"kg CO2e/RM, purchaser price"
318,318,0.044762,"kg CO2e/RM, purchaser price"
319,319,0.042381,"kg CO2e/RM, purchaser price"
