stop_id,stop_code,stop_name,stop_lat,stop_lon
12000453,PJ723,JEJANTAS SPRINT SS 22 BARAT,3.13215182,101.62072170
12000457,PJ728,TROPICANA MALL,3.13115456,101.62844330
12000459,KL1457,KOMERSIAL TUN FUAD (2),3.14222318,101.62954420
12000467,KL1451,PERUMAHAN ABANG HJ OPENG,3.14225483,101.62989480
12000468,KL1456,KOMERSIAL WAN KADIR,3.13966237,101.62918650
12000474,PJ620,KG SERI DAMANSARA,3.13158109,101.63194850
12000479,PJ216,PASAR SEKSYEN 17,3.12005900,101.63216510
12000481,PJ219,(M1) HAPPY MANSION APARTMENT,3.12339254,101.63402500
12000482,PJ220,HAPPY APARTMENT GATE A,3.12470547,101.63456160
12000503,SA1022,PETRONAS SEKSYEN U3,3.15385100,101.54854900
12000518,PJ103,PANGSAPURI TANJUNG SEK 6,3.15537372,101.57565440
12000520,PJ106,KOMERSIAL SEK 6 (BARAT),3.15992973,101.57410570
12000521,PJ658,TAMAN INDUSTRI SG BULOH (UTARA),3.16193500,101.57061100
12000524,SA670,PANGSAPURI SUBANG PERDANA,3.15081348,101.54111220
12000526,SA675,KOMERSIAL SUBANG PERDANA (SELATAN),3.14875200,101.54812100
12000530,KL1141,PREMISE NO 83,3.13237000,101.67261100
12000532,KL2148,(M1) MID VALLEY SOUTH COURT,3.11634269,101.67610830
12000534,KL1160,BUKIT BANDARAYA,3.13924400,101.67217500
12000536,KL1137,KONDO SRI PENAGA,3.14220641,101.66458720
12000538,KL1917,MASJID SAIDINA UMAR (BARAT),3.14930848,101.65637910
12000539,KL1170,PLAZA DAMANSARA (BARAT),3.14881632,101.65334280
12000540,KL1919,TEKNOLOGI PENDIDIKAN (BARAT),3.14608055,101.64794530
12000541,KL1918,PUSAT SAINS NEGARA (BARAT),3.14702840,101.64506800
12000542,KL1807,SMK SERI HARTAMAS,3.15795860,101.64795770
12000543,KL1480,DESA SRI HARTAMAS (1),3.16054200,101.64957500
12000546,KL1904,(M1) PUSAT SAINS NEGARA (TIMUR),3.14744578,101.64513770
12000550,KL1177,UOA DAMANSARA,3.15151904,101.66671490
12000551,KL1178,(M2) WISMA DAMANSARA (TIMUR),3.15071501,101.66867640
12000552,KL1487,DUTA VISTA,3.15083588,101.67459890
12000557,KL1916,WISMA DAMANSARA (BARAT),3.15060104,101.66922800
12000562,KL1175,HP TOWER,3.15188200,101.66379000
12000563,KL1015,LEMBAGA PEPERIKSAAN,3.16880556,101.67090840
12000564,KL1016,PUBLIKA,3.17019400,101.66533800
12000572,PJ79,KOMERSIAL NURI 7A,3.17258143,101.57635793
12000606,SA1019,RHB KG BARU SG BULOH,3.19824630,101.56795310
12000623,SA605,SMK BANDAR BARU SG BULOH (OPP),3.20586000,101.56182100
12000634,SA1018,(M1) PANGSAPURI MEDAN MAS,3.19558140,101.56639000
12000636,KL1138,BSC (SELATAN),3.14306700,101.66796900
12000637,KL1148,SMK BUKIT BANDARAYA,3.14256400,101.67163100
12000638,KL1149,KONDO BANGSAR INDAH,3.14023900,101.67271900
12000639,KL1150,JUNC JLN LIMAU BESAR,3.13808300,101.67341100
12000640,KL2335,PETRON,3.12758600,101.67550300
